after forward	4	0	1	2	1	5	8	1	11
after forward	3	0	1	1	6	8	8	2	10
after forward	2	0	1	6	8	2	4	1	4
after bash	1	0	1	8	1	6	2	6	1
after forward	0	0	1	1	100	6	3	8	0
S	5	6	1	1	2	7	6	1	30
after forward	4	6	1	2	3	3	9	1	28
after forward	3	6	1	3	6	1	3	2	25
after bash	2	6	1	6	2	5	9	3	22
after forward	1	6	1	2	6	1	4	6	20
after left	1	6	3	2	1	6	6	4	19
after forward	1	5	3	1	7	5	4	2	18
after bash	1	4	3	7	1	4	2	1	15
after forward	1	3	3	1	7	3	1	7	14
after right	1	3	1	1	1	7	7	3	13
after forward	0	3	1	1	7	9	2	1	12
after left	0	3	3	1	9	1	7	2	11
after bash	0	2	3	9	7	7	2	1	8
after forward	0	1	3	7	1	5	5	9	1
after forward	0	0	3	1	100	7	2	7	0
S	-3	1	1	1	3	1	2	4	7
after left	-3	1	3	1	1	4	3	2	6
after forward	-3	0	3	1	5	1	5	1	5
after left	-3	0	2	1	1	1	5	5	4
after forward	-2	0	2	1	2	4	9	1	3
after forward	-1	0	2	2	1	5	4	1	1
after forward	0	0	2	1	5	7	7	2	0
S	-3	4	1	1	1	7	9	5	20
after forward	-4	4	1	1	6	1	4	1	19
after left	-4	4	3	1	1	1	6	4	18
after forward	-4	3	3	1	5	7	6	1	17
after left	-4	3	2	1	7	1	5	6	16
after bash	-3	3	2	7	4	1	7	1	13
after forward	-2	3	2	4	2	5	6	7	9
after forward	-1	3	2	2	8	8	2	4	7
after right	-1	3	3	2	2	8	4	8	6
after forward	-1	2	3	2	1	1	6	2	4
after forward	-1	1	3	1	1	6	8	2	3
after forward	-1	0	3	1	100	1	4	1	2
after left	-1	0	2	1	1	1	100	4	1
after forward	0	0	2	1	5	6	100	1	0
S	-5	-1	1	1	8	2	3	2	24
after right	-5	-1	4	1	3	8	2	2	23
after forward	-5	0	4	3	1	2	5	1	20
after right	-5	0	2	3	5	1	1	2	18
after forward	-4	0	2	5	8	2	2	3	13
after bash	-3	0	2	8	6	9	9	5	10
after forward	-2	0	2	6	9	8	7	8	4
after bash	-1	0	2	9	1	7	2	6	1
after forward	0	0	2	1	9	3	9	9	0
S	-2	3	1	1	2	2	7	5	15
after left	-2	3	3	1	2	5	2	7	14
after forward	-2	2	3	2	8	4	8	1	12
after bash	-2	1	3	8	3	8	7	2	9
after forward	-2	0	3	3	9	6	9	8	6
after left	-2	0	2	3	6	8	9	9	4
after bash	-1	0	2	6	1	8	1	3	1
after forward	0	0	2	1	2	1	5	6	0
S	2	0	1	1	1	100	2	7	2
after forward	1	0	1	1	1	100	9	1	1
after forward	0	0	1	1	3	100	7	1	0
S	-1	-1	1	1	9	8	6	5	11
after right	-1	-1	4	1	6	9	5	8	10
after forward	-1	0	4	6	5	6	1	1	4
after right	-1	0	2	6	1	5	1	6	1
after forward	0	0	2	1	7	4	5	6	0
S	-4	2	1	1	5	7	2	9	20
after left	-4	2	3	1	7	9	5	2	19
after left	-4	2	2	1	9	2	7	5	18
after bash	-3	2	2	9	2	3	6	1	15
after forward	-2	2	2	2	4	7	6	9	13
after forward	-1	2	2	4	7	2	3	2	9
after right	-1	2	3	4	3	7	2	2	7
after bash	-1	1	3	3	2	3	6	4	4
after forward	-1	0	3	2	5	1	7	3	2
after left	-1	0	2	2	1	3	5	7	1
after forward	0	0	2	1	6	3	4	2	0
S	4	0	1	1	3	6	8	100	13
after bash	3	0	1	3	6	1	8	1	10
after forward	2	0	1	6	6	5	6	3	4
after bash	1	0	1	6	1	5	3	6	1
after forward	0	0	1	1	3	5	5	6	0
S	4	6	1	1	8	2	100	2	25
after left	4	6	3	1	2	2	8	100	24
after forward	4	5	3	2	6	6	6	1	22
after right	4	5	1	2	6	6	1	6	21
after bash	3	5	1	6	1	2	8	2	18
after forward	2	5	1	1	8	5	7	6	17
after bash	1	5	1	8	2	8	9	1	14
after forward	0	5	1	2	100	6	1	8	12
after left	0	5	3	2	6	8	100	1	11
after bash	0	4	3	6	2	8	100	2	8
after forward	0	3	3	2	2	8	100	6	6
after forward	0	2	3	2	7	2	100	2	4
after bash	0	1	3	7	1	9	100	2	1
after forward	0	0	3	1	5	9	100	7	0
S	2	3	1	1	5	6	5	2	20
after left	2	3	3	1	6	2	5	5	19
after bash	2	2	3	6	4	9	6	1	16
after forward	2	1	3	4	5	4	2	6	12
after forward	2	0	3	5	1	5	8	4	7
after right	2	0	1	5	8	1	4	5	4
after bash	1	0	1	8	1	6	2	5	1
after forward	0	0	1	1	7	3	8	8	0
S	-5	-1	1	1	1	6	2	3	18
after left	-5	-1	3	1	6	3	1	2	17
after left	-5	-1	2	1	3	2	6	1	16
after forward	-4	-1	2	3	4	6	5	1	13
after bash	-3	-1	2	4	2	5	9	3	10
after forward	-2	-1	2	2	2	6	6	4	8
after forward	-1	-1	2	2	3	3	9	2	6
after forward	0	-1	2	3	8	1	9	2	3
after left	0	-1	4	3	1	2	8	9	1
after forward	0	0	4	1	5	3	8	3	0
S	3	2	1	1	6	7	9	9	13
after left	3	2	3	1	7	9	6	9	12
after bash	3	1	3	7	3	8	8	1	9
after forward	3	0	3	3	9	7	2	7	6
after right	3	0	1	3	2	9	7	7	4
after forward	2	0	1	2	1	7	8	3	2
after forward	1	0	1	1	1	8	3	2	1
after forward	0	0	1	1	5	9	7	1	0
S	1	6	1	1	3	1	5	8	22
after forward	0	6	1	3	7	6	6	1	19
after left	0	6	3	3	6	1	7	6	17
after forward	0	5	3	6	7	1	7	3	11
after bash	0	4	3	7	1	4	8	6	8
after forward	0	3	3	1	3	7	4	7	7
after forward	0	2	3	3	6	8	3	1	4
after bash	0	1	3	6	1	4	3	3	1
after forward	0	0	3	1	2	2	6	6	0
S	1	-8	1	1	9	7	4	100	30
after right	1	-8	4	1	4	9	100	7	29
after bash	1	-7	4	4	1	3	100	1	26
after forward	1	-6	4	1	6	3	100	4	25
after forward	1	-5	4	6	8	5	100	1	19
after bash	1	-4	4	8	2	9	100	6	16
after forward	1	-3	4	2	2	5	100	8	14
after forward	1	-2	4	2	7	9	100	2	12
after bash	1	-1	4	7	5	4	100	2	9
after forward	1	0	4	5	100	1	100	7	4
after left	1	0	1	5	1	7	100	100	1
after forward	0	0	1	1	3	4	100	5	0
S	-3	-2	1	1	9	1	5	7	17
after left	-3	-2	3	1	1	7	9	5	16
after left	-3	-2	2	1	7	5	1	9	15
after bash	-2	-2	2	7	5	9	4	1	12
after forward	-1	-2	2	5	2	4	4	7	7
after forward	0	-2	2	2	8	8	1	5	5
after left	0	-2	4	2	8	5	8	1	4
after bash	0	-1	4	8	1	4	9	2	1
after forward	0	0	4	1	8	3	7	8	0
S	-1	2	1	1	3	8	7	3	11
after left	-1	2	3	1	8	3	3	7	10
after left	-1	2	2	1	3	7	8	3	9
after forward	0	2	2	3	4	9	4	1	6
after right	0	2	3	3	4	4	1	9	4
after bash	0	1	3	4	1	2	8	3	1
after forward	0	0	3	1	3	2	7	4	0
S	6	3	1	1	5	8	100	9	22
after bash	5	3	1	5	2	6	100	1	19
after forward	4	3	1	2	2	8	100	5	17
after forward	3	3	1	2	6	4	100	2	15
after bash	2	3	1	6	3	9	100	2	12
after forward	1	3	1	3	1	6	100	6	9
after forward	0	3	1	1	100	9	100	3	8
after left	0	3	3	1	9	3	100	100	7
after bash	0	2	3	9	3	6	100	1	4
after forward	0	1	3	3	1	9	100	9	1
after forward	0	0	3	1	2	2	100	3	0
S	-5	6	1	1	4	7	1	2	32
after left	-5	6	3	1	7	2	4	1	31
after bash	-5	5	3	7	5	6	5	1	28
after forward	-5	4	3	5	2	6	7	7	23
after forward	-5	3	3	2	8	2	2	5	21
after left	-5	3	2	2	2	5	8	2	20
after forward	-4	3	2	2	9	6	2	2	18
after bash	-3	3	2	9	1	4	4	2	15
after forward	-2	3	2	1	8	4	4	9	14
after right	-2	3	3	1	4	8	9	4	13
after forward	-2	2	3	4	6	9	4	1	9
after bash	-2	1	3	6	1	2	9	4	6
after forward	-2	0	3	1	100	6	9	6	5
after left	-2	0	2	1	6	6	100	9	4
after bash	-1	0	2	6	1	2	100	1	1
after forward	0	0	2	1	7	5	100	6	0
S	-5	-6	1	1	3	7	1	2	27
after right	-5	-6	4	1	1	3	2	7	26
after forward	-5	-5	4	1	1	8	4	1	25
after forward	-5	-4	4	1	2	6	8	1	24
after forward	-5	-3	4	2	9	9	8	1	22
after bash	-5	-2	4	9	2	9	2	2	19
after forward	-5	-1	4	2	7	6	2	9	17
after right	-5	-1	2	2	2	7	9	6	16
after forward	-4	-1	2	2	9	3	2	2	14
after left	-4	-1	4	2	3	2	9	2	13
after forward	-4	0	4	3	1	7	4	2	10
after right	-4	0	2	3	4	1	2	7	8
after bash	-3	0	2	4	1	8	9	3	5
after forward	-2	0	2	1	4	7	6	4	4
after bash	-1	0	2	4	1	7	7	1	1
after forward	0	0	2	1	5	2	9	4	0
S	1	2	1	1	3	1	9	6	9
after forward	0	2	1	3	7	4	4	1	6
after left	0	2	3	3	4	1	7	4	4
after bash	0	1	3	4	1	1	5	3	1
after forward	0	0	3	1	1	5	6	4	0
S	5	7	1	1	4	3	5	6	31
